country,ai_adoption_2024,ai_adoption_2025,ai_adoption_growth_pp,small_enterprises_adoption,medium_enterprises_adoption,large_enterprises_adoption,hourly_productivity,gdp_per_capita
Denmark,27.58,42.03,14.450000000000005,37.5,58.3,74.5,92.2,52510
Finland,24.37,37.82,13.45,33.5,51.4,79.4,80.5,36760
Sweden,25.09,35.04,9.95,30.7,49.6,71.9,83.9,44620
Belgium,24.71,34.54,9.829999999999998,28.8,54.5,76.4,91.5,37340
Luxembourg,23.73,33.61,9.88,30.5,43.7,58.0,159.5,83320
Netherlands,23.06,33.21,10.150000000000002,28.8,46.6,67.6,92.3,44460
Austria,20.27,29.95,9.68,26.2,44.6,68.3,86.7,37860
Germany,19.75,25.97,6.219999999999999,23.1,35.6,57.0,80.5,36290
Estonia,13.89,23.4,9.509999999999998,20.7,33.1,52.9,51.3,15250
Slovenia,20.89,21.61,0.7199999999999989,18.3,30.6,71.7,59.9,22130
Malta,17.3,21.56,4.259999999999998,17.9,30.7,52.2,50.7,26110
Lithuania,8.76,21.3,12.54,18.1,30.4,51.8,53.6,15330
Spain,11.31,20.27,8.959999999999999,17.2,30.1,57.5,68.1,25620
Ireland,14.9,19.64,4.74,16.8,28.0,57.3,164.7,71700
France,9.91,18.16,8.25,15.0,30.8,58.0,80.2,33750
Slovakia,10.78,18.0,7.220000000000001,15.6,23.1,43.7,47.4,16710
Czechia,11.26,17.6,6.340000000000002,13.4,28.8,54.1,56.5,18480
Italy,8.2,16.4,8.2,14.2,27.6,53.1,74.1,28880
Croatia,11.76,15.19,3.43,12.8,25.5,39.6,58.7,15020
Latvia,8.83,12.21,3.380000000000001,9.8,19.8,47.1,45.3,13300
Portugal,8.63,11.54,2.9099999999999984,9.4,18.2,49.2,52.9,19250
Hungary,7.41,10.37,2.959999999999999,8.7,15.3,40.0,45.3,14430
Cyprus,7.9,9.27,1.3699999999999992,7.7,15.3,35.1,38.2,29080
Greece,9.81,8.93,-0.8800000000000008,7.3,15.2,37.6,48.8,19460
Bulgaria,6.47,8.55,2.080000000000001,7.2,13.3,26.2,37.2,7900
Poland,5.9,8.36,2.459999999999999,5.8,14.8,45.8,48.8,14880
Romania,3.07,5.21,2.14,4.1,7.8,20.8,50.7,10250
Norway,20.77,28.89,8.120000000000001,25.2,45.3,66.0,125.6,71870
Montenegro,7.91,10.05,2.140000000000001,,8.9,,31.3,6900
Serbia,6.95,10.12,3.169999999999999,9.4,11.1,18.3,29.8,6500
Turkiye,4.42,7.41,2.99,6.6,9.4,23.5,40.9,14010
